Address,Price,Beds,Baths,SqFt,Latitude,Longitude,Property Type,Year Built,Amenities,Cluster_ID,Neighborhood,Listing ID,Address 2,City,State,Zip,Formatted Address
422 N Hamilton St,995,1.0,1.0,510.0,42.246925,-83.61689,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
9226 White Wing Dr,1949,2.0,2.0,1381.0,42.19662,-83.5799,Apartment,2018.0,,2,Gault Village,,,Ypsilanti,MI,,
208 W Michigan Ave,1700,3.0,2.5,5850.0,42.241299,-83.615005,Condo,1879.0,,0,Midtown,,,Ypsilanti,MI,,
2345 Woodridge Way,949,0.0,1.0,500.0,42.253417,-83.663624,Apartment,,,1,Westlawn,,,Ypsilanti,MI,,
2960 International Dr,899,1.0,1.0,550.0,42.253523,-83.6583,Apartment,1975.0,,1,Westlawn,,,Ypsilanti,MI,,
2911 Bynan Dr,1039,1.0,1.0,576.0,42.256983,-83.657967,Apartment,1974.0,,1,Westlawn,,,Ypsilanti,MI,,
133 W Michigan Ave,285,,,243.0,42.24078,-83.614311,Condo,,,0,Midtown,,,Ypsilanti,MI,,
133 W Michigan Ave,2355,,,2018.0,42.24078,-83.614311,Condo,,,0,Midtown,,,Ypsilanti,MI,,
701 Pearl St,1200,2.0,1.0,700.0,42.241867,-83.62191,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
412 N Washington St,1100,2.0,1.0,,42.246376,-83.614372,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
128 N Normal St,600,1.0,,155.0,42.243359,-83.622978,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
208 N Hamilton St,805,0.0,,375.0,42.244045,-83.617241,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
601 Emmet St,1650,3.0,2.0,1100.0,42.244543,-83.620717,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
506 N Miami Ave,966,1.0,1.0,600.0,42.247581,-83.584029,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
62 Harvey Pl,1045,2.0,1.0,692.0,42.2491838,-83.560263,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
721 W Clark Rd,1000,2.0,1.5,1000.0,42.260224,-83.623079,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
317 Ecorse Rd,750,,1.0,500.0,42.236641,-83.596275,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
813 E Michigan Ave,280,,,210.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
721 W Clark Rd,945,2.0,1.0,860.0,42.260224,-83.623079,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
813 E Michigan Ave,308,,,231.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
83 Harvey Pl,895,1.0,1.0,603.0,42.24993,-83.56077,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
813 E Michigan Ave,767,,,575.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
133 W Michigan Ave,345,,,294.0,42.24078,-83.614311,Condo,,,0,Midtown,,,Ypsilanti,MI,,
133 W Michigan Ave,360,,,308.0,42.24078,-83.614311,Condo,,,0,Midtown,,,Ypsilanti,MI,,
317 Ecorse Rd,750,,1.0,650.0,42.236641,-83.596275,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
415 Villa Dr,1250,2.0,1.0,870.0,42.25848,-83.61857,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
369 1st Ave,1100,2.0,1.0,640.0,42.235514,-83.625448,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
813 E Michigan Ave,277,,,208.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
105 Pearl St,3033,,,2600.0,42.242122,-83.613444,Condo,,,0,Midtown,,,Ypsilanti,MI,,
874 S Grove Rd,995,,1.0,450.0,42.22547,-83.59643,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
416 Villa Dr,1350,2.0,1.0,870.0,42.25876,-83.61868,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
720 Green Rd,880,1.0,1.0,657.0,42.258881,-83.623024,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
501 Washtenaw Rd,525,1.0,,,42.243435,-83.619392,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
609 Villa Dr,1350,2.0,1.0,870.0,42.2586,-83.62096,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
551 Villa Dr,1100,1.0,1.0,700.0,42.25815,-83.62023,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
813 E Michigan Ave,420,,,315.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
573 Villa Dr,1250,2.0,1.0,870.0,42.258621,-83.620699,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
1305 S Congress St,1250,2.0,1.0,800.0,42.238815,-83.635986,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
653 Villa Dr,1250,2.0,1.0,870.0,42.25794,-83.62098,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
317 Ecorse Rd,700,,1.0,425.0,42.236641,-83.596275,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
133 W Michigan Ave,495,,,425.0,42.24078,-83.614311,Condo,,,0,Midtown,,,Ypsilanti,MI,,
